,Date,Airline,Origin,Destination,DepTime,DepDelay,ArrTime,ArrDelay,AirTime,Distance,FlightNumber
73,2018-10-10,SkyWest Airlines Inc.,SLC,TUS,844.0,0.0,950.0,8.0,84.0,601.0,4567
74,2018-10-10,SkyWest Airlines Inc.,MSP,SBN,2043.0,13.0,2338.0,33.0,68.0,411.0,4700
75,2018-10-10,SkyWest Airlines Inc.,ATL,SBN,1819.0,0.0,1949.0,0.0,78.0,566.0,4824
76,2018-10-10,SkyWest Airlines Inc.,MSP,BJI,2201.0,0.0,2251.0,0.0,35.0,199.0,7372
77,2018-10-10,SkyWest Airlines Inc.,TWF,SLC,1213.0,0.0,1317.0,5.0,47.0,175.0,7432
78,2018-10-11,SkyWest Airlines Inc.,FNT,ORD,600.0,0.0,557.0,0.0,46.0,223.0,3242
79,2018-10-03,Southwest Airlines Co.,MKE,BWI,646.0,0.0,927.0,0.0,89.0,641.0,2538
80,2018-10-03,Southwest Airlines Co.,ONT,OAK,1106.0,0.0,1210.0,0.0,51.0,362.0,344
81,2018-10-03,Southwest Airlines Co.,RDU,FLL,727.0,0.0,918.0,0.0,93.0,680.0,1648
82,2018-10-12,Southwest Airlines Co.,STL,MDW,1326.0,6.0,1420.0,0.0,43.0,251.0,291
83,2018-10-13,Southwest Airlines Co.,ALB,DEN,1726.0,16.0,1942.0,17.0,244.0,1610.0,4698
84,2018-10-13,Southwest Airlines Co.,DAL,BWI,1513.0,3.0,1843.0,0.0,141.0,1209.0,3392
85,2018-10-15,Southwest Airlines Co.,LAS,RNO,2030.0,10.0,2144.0,9.0,59.0,345.0,879
86,2018-10-15,Southwest Airlines Co.,LAX,PHX,2323.0,78.0,100.0,95.0,53.0,370.0,4237
87,2018-10-15,Southwest Airlines Co.,MDW,CHS,1416.0,0.0,1703.0,0.0,94.0,745.0,681
88,2018-10-15,Southwest Airlines Co.,MSY,SAT,1636.0,31.0,1814.0,39.0,82.0,494.0,2465
89,2018-10-15,Southwest Airlines Co.,RDU,BNA,645.0,5.0,717.0,7.0,79.0,442.0,1423
90,2018-10-15,Southwest Airlines Co.,STL,CMH,1920.0,10.0,2128.0,3.0,54.0,409.0,1395
91,2018-10-16,Southwest Airlines Co.,ATL,MCI,1139.0,0.0,1253.0,8.0,116.0,692.0,2328
92,2018-10-16,Southwest Airlines Co.,BWI,RDU,1421.0,6.0,1527.0,2.0,53.0,255.0,1354
93,2018-10-26,Spirit Air Lines,ATL,ACY,1529.0,14.0,1707.0,0.0,79.0,679.0,332
94,2018-10-15,Spirit Air Lines,ACY,TPA,635.0,0.0,854.0,0.0,125.0,913.0,341
95,2018-10-16,Spirit Air Lines,SAN,LAS,1552.0,20.0,1709.0,19.0,50.0,258.0,356
96,2018-10-09,Spirit Air Lines,LAS,PDX,1640.0,0.0,1908.0,2.0,125.0,763.0,370
97,2018-10-16,Spirit Air Lines,BWI,MSP,1204.0,0.0,1355.0,8.0,152.0,936.0,381
98,2018-10-19,Spirit Air Lines,LAS,DTW,1032.0,0.0,1708.0,0.0,192.0,1749.0,388
99,2018-10-14,Spirit Air Lines,MYR,LBE,1246.0,0.0,1420.0,0.0,77.0,455.0,412
100,2018-10-28,Spirit Air Lines,MYR,LBE,1244.0,0.0,1418.0,0.0,76.0,455.0,412
101,2018-10-11,Spirit Air Lines,FLL,BWI,1956.0,191.0,2256.0,218.0,159.0,925.0,414
102,2018-10-09,Delta Air Lines Inc.,LAX,JFK,2110.0,0.0,506.0,0.0,282.0,2475.0,1162
103,2018-10-09,Delta Air Lines Inc.,BWI,MSP,828.0,0.0,1006.0,0.0,136.0,936.0,1301
104,2018-10-09,Delta Air Lines Inc.,SEA,MSP,1352.0,17.0,1925.0,20.0,181.0,1399.0,1492
105,2018-10-09,Delta Air Lines Inc.,CLT,DTW,1304.0,0.0,1438.0,0.0,77.0,500.0,1636
106,2018-10-12,Delta Air Lines Inc.,ATL,IND,914.0,0.0,1041.0,0.0,63.0,432.0,2302
107,2018-10-12,Delta Air Lines Inc.,MSY,DTW,1042.0,0.0,1357.0,0.0,117.0,926.0,2411
108,2018-10-12,Delta Air Lines Inc.,AVL,ATL,717.0,0.0,814.0,0.0,32.0,164.0,2710
109,2018-10-13,Delta Air Lines Inc.,MEM,ATL,1233.0,0.0,1441.0,0.0,48.0,332.0,920
110,2018-10-13,Delta Air Lines Inc.,BNA,ATL,1043.0,0.0,1238.0,0.0,36.0,214.0,1066
111,2018-10-13,Delta Air Lines Inc.,MIA,JFK,1936.0,14.0,2235.0,18.0,149.0,1089.0,1282
112,2018-10-13,Delta Air Lines Inc.,PDX,ATL,629.0,0.0,1345.0,0.0,239.0,2172.0,1557
113,2018-10-13,Delta Air Lines Inc.,ATL,PBI,1513.0,1.0,1653.0,0.0,79.0,545.0,2169
114,2018-10-13,Delta Air Lines Inc.,SLC,LAS,1454.0,0.0,1505.0,0.0,54.0,368.0,2447
115,2018-10-14,Delta Air Lines Inc.,LAX,ATL,925.0,10.0,1608.0,0.0,199.0,1947.0,194
116,2018-10-05,Delta Air Lines Inc.,SFO,JFK,617.0,2.0,1452.0,0.0,297.0,2586.0,1859
117,2018-10-05,Delta Air Lines Inc.,LGA,TPA,1132.0,0.0,1438.0,0.0,135.0,1010.0,1875
118,2018-10-05,Delta Air Lines Inc.,ORD,ATL,1715.0,0.0,1958.0,0.0,85.0,606.0,1958
119,2018-10-05,Delta Air Lines Inc.,FLL,ATL,1026.0,0.0,1205.0,0.0,74.0,581.0,1982
120,2018-10-05,Delta Air Lines Inc.,ATL,CAE,1416.0,0.0,1509.0,0.0,35.0,192.0,2274
121,2018-10-05,Delta Air Lines Inc.,PIT,MSP,1727.0,0.0,1838.0,0.0,112.0,726.0,2305
122,2018-10-06,Delta Air Lines Inc.,JAN,ATL,555.0,0.0,805.0,0.0,55.0,341.0,754
123,2018-10-06,Delta Air Lines Inc.,BDL,DTW,1154.0,0.0,1333.0,0.0,86.0,549.0,818
124,2018-10-06,Delta Air Lines Inc.,MSP,ATL,1758.0,0.0,2124.0,0.0,121.0,907.0,1549
125,2018-10-09,Delta Air Lines Inc.,JFK,SAV,1429.0,0.0,1637.0,0.0,105.0,718.0,2097
126,2018-10-09,Delta Air Lines Inc.,SEA,DTW,2319.0,29.0,631.0,29.0,226.0,1927.0,2859
127,2018-10-10,Delta Air Lines Inc.,MSP,BWI,1248.0,0.0,1601.0,0.0,117.0,936.0,782
128,2018-10-10,Delta Air Lines Inc.,ATL,IND,1044.0,0.0,1203.0,0.0,60.0,432.0,1544
129,2018-10-10,Delta Air Lines Inc.,SYR,DTW,1358.0,0.0,1513.0,0.0,59.0,374.0,1634
